product_name,product_description,product_domain
Bombay Shaving,Provides a range of male grooming products,Ecommerce
Ruangguru,"A learning platform that provides topic-based journey, animated videos, quizzes, infographic and mock tests to students",Edtech
Eduisfun,It aims to make learning fun via games.,Edtech
HomeLane,Provides interior designing solutions,Interior design
Nu Genes,"It is a seed company engaged in production, processing and marketing of seeds",AgriTech
FlytBase,A drone automation platform,Technology
Finly,"It builds software products that makes work simpler, pleasant, and productive",SaaS
Kratikal,It is a product-based cybersecurity solutions provider,Technology
Quantiphi,It is an AI and big data services company providing business solutions.,AI & Tech
Lenskart,It is a eyewear company,E-commerce
Cub McPaws,A B2C  brand that focusses on premium and comfortable merchandise for Generation Alpha – kids,E-commerce & AR
Appnomic,"It is a self-healing enterprise, the IT operations software detects, predicts and prevents problems before they happen",SaaS
Kaleidofin,Platform that provides complete financial solutions for excluded individuals and households,Fintech
JobSquare,Technology-based platform that is connecting suitable applicants to the right recruiters,HR tech
Open Secret,It produces and sells top quality snacks,Food tech
LivFin,"Grants small business loans, supply chain finance and working capital loans to small and medium enterprises",Fintech
Byju's,Provides online learning classes,Edtech
Zest Money,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,Fintech
Witblox,Offers a range of robotics learning tools,Edtech
Azah Personal Care Pvt. Ltd.,Aims to solve some problems in the feminine hygiene sector,Health
SalaryFits,A platform that promotes financial well-being of employees at workplace,Fintech
Pristyn Care,Delivers advanced medical care & clinical excellence aided by next-level technology,Healthcare
Springboard,Offers online courses and extensive mentor-based learning,Edtech
DROR Labs Pvt. Ltd,It uses technology to create a trust-based network of responsible citizens to ensure safety,Safety tech
Medlife,It solves inadequacies in the healthcare delivery system through technology,Pharmaceutical
Seekify,Customer Experience (CX) Automation platform,SaaS
Toffee Insurance,Provides variety of insurance plans and policies,Insurance technology
Fireflies .ai,Developer of an artificial intelligence-powered assistant for businesses,AI
HungerBox,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias",Foodtech
Bijak,B2B platform for agricultural commodities.,AgriTech
Licious,Online meat shop,Food
truMe,A global platform for Identity and Access Management,IoT
Pumpkart,B2B model for appliances and electrical products,E-marketplace
Asteria Aerospace,"Develops drones that are used by the military, paramilitary, police forces and in various industries.",Robotics & AI
Rivigo,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies",Logistics
HappyEasyGo,Online flight booking,Travel
Zetwerk,Provides facilities to get products manufactured.,Manufacturing
Observe.AI,Creates a voice AI platform,AI
Freshokartz,Online fruits and vegetables delivery company,E-marketplace
Lil’ Goodness and sCool meal,It empowers moms to provide the best of foods to their Lil' ones,Food & Nutrition
Trell,Blogging platform that enables people to create visual collections of their travel and local experiences,Social Media
Bombay Shirt Company,Online custom shirt brand,E-commerce
Slintel,"It helps sales and marketing teams understand purchase intent of buyers on buying patterns, usage and renewals",SaaS
MyGameMate,eSports platform where players can access various multiplayer mobile games to participate in online tournaments,E-Sports
Afinoz,Online financial marketplace for customized rate quotes on loans and investment products in India,Fintech
Rein Games,"It develops, publishes and distributes games across various platforms",Technology
Ecozen,It develops technology-enabled products to strengthen the farm-to-fork value chain of perishables.,AgriTech
Box8,Enables to order food online,Foodtech
Purplle,Online makeup and beauty products retailer,Cosmetics
Freightwalla,Provides digital platform for businesses to plan and manage their international freight shipments online,B2B
eJOHRI,Omnichannel marketplace for gems and jewellery,Jewellery
Ninjacart,"It connects producers of food directly to retailers, restuarants and service providers.",B2B Supply Chain
Binca Games,It offers games that are available across India and UK.,Games
Origo,It provides post-harvest management services for agricultural commodities,AgriTech
WishADish,Provides management solution for restaurants,Food & tech
Ecom Express,It is a technology enabled logistics solutions provider to the Indian e-commerce industry,Logistics
Stanza Living,Provides comfortable and secure accomodation for students,Accomodation
PiBeam,It is engaged in building sustainable and affordable micro-mobility electric vehicles,Automotive tech
Euler Motors,It is offering mobility as a service,Automotive tech
Moms Co,It is into mother and baby care-focused consumer goods,E-commerce
Cubical Labs,Home automation solution provider,IoT
Lawyered,It helps to connect to legal advise online,Legal tech
Cuemath,It helps students to learn math online,Edtech
Licious,Online meat shop,Food
Nivesh.com,The platform simplifies the process of investment,Mutual Funds
Zebu,"Platform uses encryption technology to allow businesses to safely store files, invoices, and schedules",Cybersecurity
Smart Institute,A platform to learn online,Edtech
CarDekho,Enables people to buy and sell new/old cars.,Automobile
Shadowfax,A platform for delivery services,Logistics
Credr,A marketplace to buy and sell used bikes and scooters,Automobile
Sportido,It is a sports discovery app that helps to find people and places to play 700+ sports,Sports
Phable,"It creates an engagement loop between doctors, hospitals, and patients via its app",Healthtech
Sarva,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,Yoga & wellness
IndyFint,"It helps lenders to directly provide short-term loans to merchants, employees, and students",Virtual Banking
Zolostays,It offers affordable housing apartments to young professionals and students,Accomodation
Ola,It enables one to book cab online,Transportation
Zoomcar,A car rental service platform,Transport & Rentals
Kratikal,Provides cyber security solutions,Technology
Froogal,A cloud based Customer Loyalty & Engagement Platform,Marketing & Customer loyalty
Infra.Market,"It connects client requirements to their supply chain infrastructure for ease of ordering, tracking and manufacturing",Infratech
Oyo,Provides rooms for comfortable stay,Hospitality
GoMechanic,Find automobile repair and maintenance service providers,Automobile & Technology
Spinny,Online car retailer,Automobile
Ess Kay Fincorp,Organised Non-Banking Finance Company,Banking
